content_traduzido,sentiment,sentiment_polarity,spacy_lemma
pra mim melhor shopping online surgiu respeita cliente consumidor todos aspectos tempo entrega excelente varios beneficios infinidade lojas produtos ainda site super facil entender complicacoes nao trava tudo funciona bem,happiness,positive,"['bom', 'shopping', 'online', 'surgir', 'respeitar', 'cliente', 'consumidor', 'aspecto', 'tempo', 'entregar', 'excelente', 'vario', 'beneficio', 'infinidade', 'loja', 'produto', 'ainda', 'site', 'super', 'facil', 'entender', 'trar', 'funcionar', 'bem']"
servico varejo bom sistema frete otimo funciona bem ha muitos produtos bons recomendo comprem sempre inicio setembro pois data aniversario shopee muitas promocoes otimo aplicativo nao problemas nenhuma compra ate agora,happiness,positive,"['servico', 'bom', 'sistema', 'frete', 'otimo', 'funcionar', 'bem', 'ha', 'produto', 'bom', 'recomendo', 'compr', 'sempre', 'inicio', 'setembro', 'data', 'aniversario', 'shopee', 'promocoes', 'otimo', 'aplicativo', 'nao', 'problema', 'compra', 'agora']"
compro medo nao receber produtos entrega rapido nao gostando alguns vezes aparece app entregue ter sido fato outro dia dois dias vem entregar fico duvida algum vizinho recebeu nao repassou erro precisa corrigido rapido,sadness,positive,"['compro', 'medo', 'receber', 'produto', 'entregar', 'rapir', 'gostar', 'vez', 'aparecer', 'entregar', 'fato', 'dia', 'dia', 'vir', 'entregar', 'fico', 'duver', 'vizinho', 'receber', 'repassar', 'erro', 'precisar', 'corriger', 'rapir']"
app bom recomendo sempre comprei nunca deu nenhum problema unico defeito vc opcao comprar qualquer coisa cores diferentes mesma loja vc colocar cada vez carrinho shopee poderia colocar opcao quantidades variacoes ficaria melhor fazer compras ajudaria clientes compras nao dou estrelas motivo chato ja deveriam ter resolvido tempos,sadness,positive,"['app', 'bom', 'recomendo', 'sempre', 'comprei', 'nunca', 'dar', 'problema', 'unico', 'defeito', 'opcao', 'comprar', 'coisa', 'cor', 'mesmo', 'loja', 'colocar', 'vez', 'carrinho', 'shopee', 'poder', 'colocar', 'opcao', 'quantidade', 'variacoes', 'ficar', 'melhor', 'fazer', 'compra', 'ajudar', 'cliente', 'compra', 'dou', 'estrela', 'motivo', 'dever', 'resolver', 'tempo']"
aplicativo bom facil usar tudo tipo produtos ate asiatico rosto risonho olhos sorridentes so fez muita falta q podia arrumado opcaos hora compra exemplo quero comprar mascara facial varios opcoes so posso escolher compra caso tipo especifico nao posso comprar dois diferentes so dois iguais podia arrumado nao queria fazer duas compras pra escolher outro tipo,sadness,positive,"['aplicativo', 'bom', 'facil', 'usar', 'tipo', 'produto', 'asiatico', 'ror', 'risonho', 'olho', 'sorridente', 'fazer', 'falta', 'poder', 'arrumar', 'opcaos', 'hora', 'compra', 'exemplo', 'querer', 'comprar', 'mascara', 'facial', 'vario', 'opcoes', 'escolher', 'compra', 'caso', 'tipo', 'especifico', 'nao', 'poder', 'comprar', 'igual', 'poder', 'arrumar', 'querer', 'fazer', 'compra', 'escolher', 'tipo']"
grande variedade produtos vendedores atenciosos unico problema sido entregas principalmente feita transportadora compra nacional demorando entregue maioria vezes ja retorno suporte shopee rapido reembolso necessario super rapido,sadness,positive,"['grande', 'variedade', 'produto', 'vendedor', 'atencioso', 'unico', 'problema', 'entrega', 'principalmente', 'fazer', 'transportadora', 'compra', 'nacional', 'demorar', 'entregar', 'maioria', 'vez', 'retorno', 'suporte', 'shopee', 'rapir', 'reembolso', 'necessario', 'super', 'rapir']"
alguns fretes sao tao caros cupom frete gratis ajuda caso fretes acima r deveriam cupons frete gratis r menos r geral resolve ajuda vezes algum produto vem problemas sempre percebo primeiro momento geral produtos sao bons maioria entregas rapida algumas demoram bastante enfim vale pena vou continuar comprando,sadness,positive,"['frete', 'sao', 'tao', 'caro', 'cupom', 'frete', 'gratis', 'ajudar', 'frete', 'acima', 'dever', 'cupons', 'frete', 'Gratis', 'menos', 'geral', 'resolver', 'ajudar', 'vez', 'produto', 'vir', 'problema', 'sempre', 'percebo', 'primeiro', 'momento', 'geral', 'produto', 'sao', 'bom', 'maioria', 'entrega', 'rapir', 'demoram', 'bastante', 'enfim', 'valer', 'pena', 'continuar', 'comprar']"
to gostando comprar shopee sinto q ultimamente estao esforcando pra melhorar cada vez atendimento coisas q aconteciam demorar vir faltando itens ja nao acontecido melhorou relacao cupons frete facilitou demais esquema frete gratis partir comprado frequencia agora causa disso love shopee,happiness,positive,"['gostar', 'comprar', 'shopee', 'sinto', 'ultimamente', 'estao', 'esforcar', 'melhorar', 'atendimento', 'coisa', 'acontec', 'demorar', 'vir', 'faltar', 'item', 'acontecer', 'melhorar', 'relacao', 'cupons', 'frete', 'facilitar', 'esquema', 'frete', 'Gratis', 'partir', 'comprar', 'frequencer', 'agora', 'causa', 'shopee']"
principio funcionava tudo bem menos uns meses nao consigo efetuar compra nenhum cartao credito porque simplesmente nao aparece hora escolho forma pagamento entrei contato atraves chat deram varias orientacoes tentar resolver apagar cache atualizar versao desinstalar instalar novamente tentar usar conta outro aparelho outras coisas simplesmente nao consigo ninguem resolve desisto,anger,negative,"['principio', 'funcionar', 'bem', 'menos', 'mês', 'nao', 'consigo', 'efetuar', 'compra', 'cartao', 'credito', 'simplesmente', 'nao', 'aparecer', 'hora', 'escolher', 'forma', 'pagamento', 'entrar', 'contato', 'atrave', 'chat', 'dar', 'vario', 'tentar', 'resolver', 'apagar', 'Cache', 'atualizar', 'versao', 'desinstalar', 'instalar', 'novamente', 'tentar', 'usar', 'conta', 'aparelho', 'coisa', 'simplesmente', 'nao', 'Consigo', 'resolver', 'desisto']"
longe melhor app compras nacional internacional so alguns detalhes precisam mudar necessario opiniao criacao botao voltar pagina incial varias vezes navegando produtos sequencia tento acessar pagina voltar todos produtos fechar app abrir novo cansativo,sadness,positive,"['longe', 'melhor', 'compra', 'nacional', 'internacional', 'detalhe', 'precisar', 'mudar', 'necessario', 'opiniao', 'voltar', 'pagina', 'incial', 'vario', 'vez', 'navegar', 'produto', 'sequencia', 'tentar', 'acessar', 'pagina', 'voltar', 'produto', 'fechar', 'app', 'abrir', 'novo', 'cansativo']"
vou ter corrigir classificacao shopee otimo site compras nao politica reembolso vendedores enviam mercadoria avariada diversa pedida nao existe opcao vc fazer devolucao inclusive aconteceu comprar produto loja banida nesse caso shopee deveria fazer reembolso entao cuidado comprar coisas alto valor ainda bem prejuizos pequenos,fear,negative,"['corrigir', 'classificacao', 'shopee', 'otimo', 'site', 'compra', 'politica', 'reembolso', 'vendedor', 'enviar', 'mercadoria', 'avariar', 'diverso', 'pedir', 'existir', 'opcao', 'fazer', 'devolucao', 'inclusive', 'acontecer', 'comprar', 'produto', 'loja', 'banir', 'caso', 'shopee', 'dever', 'fazer', 'reembolso', 'entao', 'cuidado', 'comprar', 'coisa', 'alto', 'valor', 'ainda', 'bem', 'prejuizos', 'pequeno']"
cancelaram duas compras status cancelamento falta pagamento sendo compra feita hora atraves cartao credito questionei chat robo ninguem responder algo plausivel dessa vez motivo vendedor inativo dias reembolso caiu apenas parte dessa vez robo registrou reembolso pode feito dois ciclos nao compro nunca problema aliexpress amazon mercado livre recomendo,anger,negative,"['cancelar', 'compra', 'status', 'cancelamento', 'faltar', 'pagamento', 'compra', 'fazer', 'hora', 'atrave', 'Cartao', 'robo', 'ninguem', 'responder', 'plausivel', 'vez', 'motivo', 'vendedor', 'inativo', 'dia', 'reembolso', 'cair', 'apenas', 'parte', 'vez', 'robo', 'registrar', 'reembolso', 'poder', 'fazer', 'ciclo', 'nao', 'compro', 'nunca', 'problema', 'aliexpress', 'mercado', 'livre', 'recomer']"
ja experiencia melhor shopee antes conseguia comprar boa cartao credito agora nao consigo sempre falha pagamento contar ja entrei contato varias vezes suporte shopee solicitar erro nada resolvido parece estao fazendo proposito migrar mos sparcelado,disgust,negative,"['experiencia', 'bom', 'shopee', 'antes', 'conseguir', 'comprar', 'bom', 'cartao', 'credito', 'agora', 'nao', 'sempre', 'falha', 'pagamento', 'contar', 'entrar', 'contato', 'varias', 'vez', 'suporte', 'shopee', 'solicitar', 'erro', 'nada', 'resolver', 'parecer', 'estao', 'fazer', 'proposito', 'migrar', 'sparcelar']"
diante todas compras fiz app ultimamente deixa desejar vale pena devido promocoes compra valor minimo toda loja funciona descontos fretes lembrem nao existe frete gratis pra alguem sobra pagar conta ja entregas chegaram mega rapido assim ja deram muita dor cabeca demora correios problemas transportadoras nao canal atendimento deve prestar muita atencao descricoes,fear,negative,"['diante', 'compra', 'fiz', 'ultimamente', 'deixar', 'desejar', 'valer', 'pena', 'devido', 'promocoes', 'compra', 'valor', 'minimo', 'loja', 'funcionar', 'desconto', 'frete', 'lembr', 'existir', 'frete', 'gratis', 'alguir', 'sobra', 'pagar', 'conta', 'entrega', 'chegar', 'mega', 'rapir', 'assim', 'dar', 'dor', 'cabecir', 'demor', 'correio', 'problema', 'transportadora', 'canal', 'atendimento', 'dever', 'prestar', 'atencao', 'descricoes']"
plataforma totalmente segura la vendendor demorar empacotar pedido propria chopee notifica avisando ira devolver dinheiro aplicativo bom bem feito principalmente cupons frete gratis destaca plataforma merece todas estrelas espaco nunca nenhum tipo problema recomendo shopee,happiness,positive,"['plataforma', 'totalmente', 'seguro', 'vendendor', 'demorar', 'empacotar', 'pedir', 'propria', 'chopee', 'notifico', 'avisar', 'devolver', 'dinheiro', 'aplicativo', 'bom', 'bem', 'fazer', 'principalmente', 'cupons', 'frete', 'gratis', 'destacar', 'plataforma', 'merecer', 'estrela', 'espaco', 'nunca', 'tipo', 'problema', 'recomendo', 'shopee']"
ate momento experiencia shopee sido boa podem melhorar parte avaliacao onde todo trabalho tirar fotos gravar video app shopee nao salva informacoes esbarrarmos dedo querer tecla voltar ate travar hora concluir avaliacao comecar tudo novamente revisado equipe ti maior urgencia pouparmos tempo nao precisarmos refazer tudo fica dica,sadness,positive,"['momento', 'experiencia', 'shopee', 'bom', 'poder', 'melhorar', 'parte', 'avaliacao', 'trabalho', 'tirar', 'foto', 'gravar', 'video', 'app', 'shopee', 'nao', 'salvar', 'informacoes', 'dedo', 'querer', 'tecla', 'voltar', 'travar', 'hora', 'concluir', 'avaliacao', 'comecar', 'novamente', 'revisar', 'equipe', 'grande', 'urgencia', 'pouparr', 'tempo', 'precisarmos', 'refazer', 'ficar', 'dico']"
dessa ultima atualizacao tendo problemas compra cartao credito algumas vezes diz pagamento falhou porem segunda tentativa pagamento concluido porem outras vezes pagamento simplesmente nao vai acarreta cancelando compras,disgust,negative,"['ultimo', 'atualizacao', 'ter', 'problema', 'compra', 'cartao', 'credito', 'vez', 'dizer', 'pagamento', 'falhar', 'por', 'segundo', 'tentativa', 'pagamento', 'concluido', 'por', 'vez', 'pagamento', 'simplesmente', 'acarreta', 'cancelar', 'compra']"
ate mes atras uns probleminhas resolvido so nao gostei produto demais amei porem aberto carteira chopey cada ves produto comprei paguei cancelado chopp reembolso vai direto pra maldita carteira chopey inclusive bloquearam quase mes tentando desbloquear nao consigo infelizmente chopp nao facilitou nada problema vou fechar aplicativo chopp pra mim chega,anger,negative,"['atra', 'probleminha', 'resolver', 'so', 'gostar', 'produto', 'demais', 'amei', 'por', 'abrir', 'carteira', 'chopey', 'ves', 'produto', 'comprei', 'paguei', 'cancelar', 'chopp', 'reembolso', 'direto', 'maldita', 'carteiro', 'chopey', 'inclusive', 'bloquear', 'quase', 'mes', 'tentar', 'desbloquear', 'consigo', 'infelizmente', 'chopp', 'facilitar', 'nada', 'problema', 'fechar', 'aplicativo', 'chopp', 'chegar']"
app bom ja passei ruim vendedor vendeu algo defeito nao conseguir trocar ter dinheiro volta porque nao consta conta compra fiquei muita raiva ate hoje dou estrelas porque continuo comprando nao problema hoje dia tiro print tudo entregas sao rapidas mercadoria condiz anuncio aconselho sempre ler bem descricao,sadness,positive,"['app', 'bom', 'passar', 'ruim', 'vendedor', 'vender', 'defeito', 'conseguir', 'trocar', 'ter', 'dinheiro', 'voltar', 'constar', 'contar', 'compra', 'fiquei', 'raiva', 'hoje', 'dou', 'estrela', 'continuar', 'comprar', 'nao', 'problema', 'hoje', 'dia', 'tiro', 'print', 'entrega', 'rapir', 'mercadorio', 'condizr', 'anuncio', 'aconselho', 'sempre', 'ler', 'bem', 'descricao']"
gosto aplicativo melhorar gostaria loja itens informatica eletroeletronicos aliexpress tambem gostaria melhorassem busca produtos assim gostaria achar produto internacional bom ter botao fizesse sistema procurar mim produto so fornecedor nacional prefiro nao precisar pagar taxa importacao resumo acho melhor shopee concorrente,sadness,positive,"['gostar', 'aplicativo', 'melhorar', 'gostar', 'lojo', 'item', 'informatico', 'eletroeletronico', 'aliexprsl', 'tambem', 'gostar', 'busca', 'produto', 'assim', 'gostar', 'achar', 'produto', 'internacional', 'bom', 'ter', 'botao', 'fizesse', 'sistema', 'procurar', 'produto', 'fornecedor', 'nacional', 'prefiro', 'precisar', 'pagar', 'taxa', 'importacao', 'resumo', 'achar', 'bom', 'shopee', 'concorrente']"
uso ha meses ate entao tudo corria relativamente bem nunca problemas ultima compra faco todas vezes tiro dados cartao cadastrado logo seguida venho tentando tirar dados cartao credito sucesso ja falei suporte nada conseguiu ajudar pena nao mim shopee enquanto nao resolver nao compro nada,anger,negative,"['uso', 'ha', 'mês', 'entao', 'correr', 'relativamente', 'bem', 'nunca', 'problema', 'ultimo', 'compra', 'faco', 'vez', 'tiro', 'dar', 'cartao', 'cadastrar', 'logo', 'seguir', 'venho', 'tentar', 'tirar', 'dado', 'cartao', 'credito', 'sucesso', 'falei', 'suporte', 'nada', 'conseguir', 'ajudar', 'pena', 'shopee', 'enquanto', 'nao', 'resolver', 'compro', 'nada']"
amo app realmente variedades produtos pra mim dois unicos problemas q maioria fretes saem pesado entao sempre compensa usar cupom frete sair absurdo caro segundo problema q fizer compra q pagar pra cada objeto,sadness,positive,"['amo', 'app', 'realmente', 'variedade', 'produto', 'unico', 'problema', 'maioria', 'frete', 'sair', 'pesar', 'entao', 'sempre', 'compensa', 'usar', 'cupom', 'frete', 'sair', 'absurdo', 'caro', 'segundo', 'problema', 'fizer', 'compra', 'pagar', 'objeto']"
ja ruim piorou desde nenhum cupom selecionado aparece finalizar compra todos dentro regras ate cupom fidelidade ganho subir nivel funciona chat nao enviar print erro inuteis dizem nada podem fazer so sao garotos recado passem recado podem fazer alguma coisa facam alias chamam atendimento aliexpress amazon mercado livre sempre frente shopee so ultimo caso,anger,negative,"['ruim', 'piorar', 'cupom', 'selecionar', 'aparecer', 'finalizar', 'compra', 'regra', 'cupom', 'fidelidade', 'ganhar', 'subir', 'nivel', 'funcionar', 'enviar', 'erro', 'inutel', 'dizer', 'poder', 'fazer', 'garoto', 'recar', 'recar', 'poder', 'fazer', 'coisa', 'facar', 'alia', 'chamar', 'atendimento', 'aliexpress', 'mercado', 'livre', 'sempre', 'frente', 'shopee', 'ultimo', 'caso']"
shopee nao dando moedas valor compra vezes avaliacao conforme vc procura produto vai abrindo app ficando cada vez lento ponto travar ter q fechar bonificacoes q quase nao existe frete gratis entao quase nao aumentou valor minimo alto deixou melhor igual qualquer outro app,anger,negative,"['shopee', 'nao', 'dar', 'moeda', 'valor', 'compra', 'vez', 'avaliacao', 'conforme', 'procurar', 'produto', 'abrir', 'app', 'ficar', 'cada', 'lento', 'ponto', 'travar', 'ter', 'fechar', 'bonificacoes', 'quase', 'nao', 'existir', 'frete', 'entao', 'quase', 'aumentar', 'valor', 'minimo', 'alto', 'deixar', 'bom', 'igual', 'app']"
gostando app pratico facil usar nunca problemas compras fiz atualizando ultimamente servico rastreamento logistica horrivel,sadness,positive,"['gostar', 'app', 'pratico', 'facil', 'usar', 'nunca', 'problema', 'compra', 'fiz', 'atualizar', 'ultimamente', 'servico', 'rastreamento', 'logisticar', 'horrivel']"
app bom porem ultimamente estado lento alguns cupons recebidos sao enganosos exemplo diz vc comprar acima nao paga frete mentira tudo compro ate aqui chega certinho,sadness,positive,"['app', 'bom', 'por', 'ultimamente', 'estar', 'lento', 'cupons', 'receber', 'enganoso', 'exemplo', 'dizer', 'comprar', 'acima', 'pagar', 'frete', 'mentira', 'compro', 'aqui', 'chegar', 'certinho']"
pontos positivos facilidade compra variedade produtos precos acessiveis pontos negativos app cheio bugs muitos travamentos cupons frete fake voce aplica cupom frete gratis ai vc escolhe meio pagamento frete volta cobrado diz pode usado representa tremenda perda tempo maioria entregas nacionais sao super demoradas,anger,negative,"['ponto', 'positivo', 'facilidade', 'compra', 'variedade', 'produto', 'preco', 'acessivei', 'ponto', 'negativo', 'app', 'cheio', 'bugs', 'travamento', 'cupons', 'frete', 'aplicar', 'cupom', 'frete', 'Gratis', 'Escolhe', 'meio', 'pagamento', 'frete', 'volta', 'cobrar', 'dizer', 'poder', 'usar', 'representar', 'tremenda', 'perdo', 'tempo', 'maioria', 'entrega', 'nacional', 'sao', 'super', 'demorar']"
gosto comprar compro bastante algumas ressalvas vendedores daqui alguns parecem nao quer vender vezes responde pergunto entregas quase sempre sao demoradas prefiro comprar china barato vendedores atenciosos entregas sao rapidas outro continente pena nao pra ficar comprando causa taxa abusiva governo federal,sadness,positive,"['gostar', 'comprar', 'compro', 'bastante', 'ressalva', 'vendedor', 'de aqui', 'parecer', 'querer', 'vender', 'vez', 'responde', 'pergunto', 'entrega', 'quase', 'sempre', 'sao', 'demorar', 'prefiro', 'comprar', 'China', 'barato', 'vendedor', 'atencioso', 'entrega', 'rapir', 'continente', 'pena', 'ficar', 'comprar', 'causa', 'taxa', 'abusivo', 'governo', 'federal']"
ate q gosto comprar shopee quase nao problemas compras quase sempre chegaram perfeitamente ultimos dias entregas nao estao sendo concluidas tendo q pedir devolucao reembolso trazendo transtorno cliente havendo erro embalador produto q nao chega produto errado fazem reembolso perco tempo espera dinheiro assim gosto precos baixos descontos frete melhorassem questoes daria nota,sadness,positive,"['gostar', 'comprar', 'shopee', 'quase', 'nao', 'problema', 'compra', 'quase', 'sempre', 'chegar', 'perfeitamente', 'ultimos', 'dia', 'entrega', 'nao', 'estao', 'concluir', 'ter', 'pedir', 'devolucao', 'reembolso', 'trazer', 'transtorno', 'cliente', 'haver', 'erro', 'embalador', 'chegar', 'produto', 'errar', 'fazer', 'reembolso', 'perco', 'tempo', 'esperar', 'dinheiro', 'assim', 'gostar', 'preco', 'baixo', 'desconto', 'frete', 'melhorassem', 'dar', 'nota']"
gostando porem sempre algo acontecendo dessa vez nao conseguido fazer videos avaliacoes fotos vao boa outro nao carrega nao problema aparelho pq consigo fazer videos outros apps compra notei entregas voltaram agilizada chegam antes prazo pra mim suma importancia causa desse menor nota recomendo,sadness,positive,"['gostar', 'por', 'sempre', 'acontecer', 'vez', 'conseguir', 'fazer', 'video', 'foto', 'bom', 'nao', 'carregar', 'nao', 'problema', 'aparelho', 'consigo', 'fazer', 'video', 'apps', 'compra', 'notei', 'entrega', 'voltar', 'agilizar', 'chegar', 'antes', 'prazo', 'sum', 'importancia', 'causo', 'pequeno', 'nota', 'recomer']"
bom aplicativo porem fato voce nao saber vai feita entrega horrivel antes ver transportadora privada correios agora nao horrivel ter depender estresse demora correios,anger,negative,"['bom', 'aplicativo', 'por', 'fato', 'voce', 'saber', 'fazer', 'entrega', 'horrivel', 'antes', 'ver', 'transportadora', 'privado', 'Correios', 'agora', 'horrivel', 'depender', 'estresse', 'demor', 'correio']"
bom hoje dia apresenta erro servidor falhas carregamento muita instabilidade imagino smartphone antigo,disgust,negative,"['bom', 'hoje', 'dia', 'apresentar', 'erro', 'servidor', 'falho', 'carregamento', 'instabilidade', 'imaginar', 'smartphone', 'antigo']"
realmente vendo melhoras significativas obrigada amo app,happiness,positive,"['realmente', 'ver', 'melhora', 'significativo', 'obrigar', 'amo', 'app']"
gosto comprar shopee polegar cima pele clara maos aplaudindo pele clara plataforma facil mexer normalmente boas promocoes considero cupons vantajosos especial lojas parceiras proporcionam frete gratis valores compras partir r quadrado preto pequeno obs vantagens ate momento escrevo avaliacao quadrado preto pequeno aconselho verificar promos cupons frequencia melhor aproveitamento rosto olho piscando,happiness,positive,"['gostar', 'comprar', 'shopee', 'polegar', 'pele', 'claro', 'mao', 'aplaudir', 'pele', 'claro', 'plataforma', 'facil', 'mexer', 'normalmente', 'bom', 'promocoes', 'considerar', 'cupons', 'vantajoso', 'especial', 'loja', 'parceiro', 'proporcionar', 'frete', 'valor', 'compra', 'partir', 'quadrado', 'preto', 'pequeno', 'obs', 'vantagem', 'momento', 'avaliacao', 'quadrado', 'preto', 'pequeno', 'aconselho', 'verificar', 'pror', 'cupons', 'frequencia', 'bom', 'aproveitamento', 'ror', 'olho', 'piscar']"
